County_Name,State,FIPS,Median_Income,Poverty_Rate_Pct,Uninsured_Rate_Pct,Pct_Black,Pct_Hispanic,Diabetes_Rate,Hypertension_Rate,Mental_Health_Poor_Days,Preventive_Screening_Rate,Medicare_Spending_Per_Beneficiary,Equity_Gap_Score,Equity_Quartile,Primary_Driver
Monroe,IN,18105,60308.0,18.48,0.73,3.64,3.77,10.45,31.15,18.549999999999997,62.2,11089.73,0.2247,2.0,Poverty
Montgomery,IN,18107,62937.0,12.2,1.04,0.82,5.16,12.35,37.35,18.450000000000003,57.95,11346.15,0.2754,3.0,Hypertension
Morgan,IN,18109,79134.0,8.35,1.02,0.47,1.84,12.15,36.35,18.1,62.05,11783.46,0.2466,2.0,Hypertension
Newton,IN,18111,63673.0,12.42,0.91,1.14,7.35,12.9,37.65,18.65,64.05,12601.38,0.2866,3.0,Hypertension
Noble,IN,18113,70286.0,7.1,3.56,0.36,10.7,12.15,35.2,18.45,63.75,10744.61,0.2576,2.0,Uninsured
Ohio,IN,18115,66333.0,9.91,1.21,0.3,0.0,12.4,37.55,17.9,66.9,13402.11,0.2687,3.0,Hypertension
Orange,IN,18117,60775.0,14.43,2.47,1.63,1.79,13.1,38.6,19.55,60.25,12087.71,0.3217,3.0,Hypertension
Owen,IN,18119,57947.0,12.02,1.74,0.49,1.34,12.8,37.9,18.95,62.7,9341.84,0.2931,3.0,Hypertension
Parke,IN,18121,63393.0,14.49,4.54,1.88,0.96,13.8,39.35,20.25,58.95,12643.54,0.3597,4.0,Uninsured
Perry,IN,18123,58936.0,11.17,1.05,3.18,1.53,12.25,38.1,18.549999999999997,64.85,13755.44,0.2744,3.0,Hypertension
Pike,IN,18125,64182.0,10.8,0.79,0.57,2.28,12.85,37.6,18.75,63.85,10607.76,0.2767,3.0,Hypertension
Porter,IN,18127,82915.0,9.1,0.8,4.09,10.76,11.55,36.4,17.15,63.8,12905.75,0.2381,2.0,Hypertension
Posey,IN,18129,75594.0,9.87,0.48,1.27,1.3,11.45,36.45,17.45,66.25,12048.18,0.2372,2.0,Hypertension
Pulaski,IN,18131,56823.0,12.53,0.56,0.19,3.38,12.95,38.4,18.85,63.4,10857.05,0.2899,3.0,Hypertension
Putnam,IN,18133,70609.0,7.77,0.54,2.66,2.07,11.75,35.3,18.450000000000003,61.55,11691.63,0.2248,2.0,Hypertension
Randolph,IN,18135,59674.0,12.75,0.87,0.21,4.03,12.95,37.95,19.1,61.25,11787.16,0.2908,3.0,Hypertension
Ripley,IN,18137,70285.0,9.44,1.61,0.33,1.84,11.35,35.7,18.35,64.7,11211.02,0.2393,2.0,Uninsured
Rush,IN,18139,62386.0,11.5,2.18,0.57,1.81,12.9,37.35,19.2,61.3,12163.87,0.2927,3.0,Hypertension
St. Joseph,IN,18141,61877.0,13.78,1.25,12.88,9.53,12.3,36.15,18.950000000000003,63.3,11330.3,0.2753,3.0,Poverty
Scott,IN,18143,49343.0,15.18,0.32,0.15,2.52,12.95,38.4,20.1,61.1,13998.81,0.2999,3.0,Hypertension
Shelby,IN,18145,66449.0,12.69,1.02,1.39,4.86,12.6,37.7,18.7,64.25,13432.14,0.2842,3.0,Hypertension
Spencer,IN,18147,66168.0,7.1,0.55,0.65,3.19,11.9,37.65,17.75,65.15,11264.36,0.2412,2.0,Hypertension
Starke,IN,18149,59916.0,13.49,0.71,0.17,4.45,13.4,38.1,19.55,62.4,12313.41,0.3014,3.0,Hypertension
Steuben,IN,18151,68837.0,8.88,0.79,0.31,4.0,12.05,36.25,17.85,67.8,10798.35,0.2444,2.0,Hypertension
Sullivan,IN,18153,54556.0,10.88,2.73,3.63,1.8,13.05,39.1,19.0,62.7,13663.93,0.3104,3.0,Hypertension
Switzerland,IN,18155,66525.0,16.41,3.5,0.3,2.09,13.3,39.55,19.55,62.4,11954.04,0.3514,4.0,Hypertension
Tippecanoe,IN,18157,55728.0,17.48,0.79,6.0,8.92,10.8,31.45,17.95,63.1,11768.53,0.2287,2.0,Poverty
Tipton,IN,18159,71947.0,11.88,0.65,0.52,3.06,11.95,36.3,17.55,63.15,13264.45,0.2557,2.0,Hypertension
Union,IN,18161,68514.0,5.94,1.45,0.61,2.27,11.55,35.95,17.95,64.7,12401.14,0.2265,2.0,Uninsured
Vanderburgh,IN,18163,58839.0,13.76,0.82,9.76,3.02,12.0,36.75,18.8,61.55,12198.47,0.2702,3.0,Hypertension
Vermillion,IN,18165,59567.0,14.61,0.18,0.45,1.56,12.9,38.1,19.2,61.4,13420.47,0.2929,3.0,Hypertension
Vigo,IN,18167,52789.0,18.52,1.14,6.92,2.82,13.25,36.9,19.8,61.4,13351.8,0.3179,3.0,Poverty
Wabash,IN,18169,66194.0,10.29,1.02,1.13,2.78,12.3,36.85,18.45,66.4,12917.85,0.2618,2.0,Hypertension
Warren,IN,18171,72833.0,12.36,1.12,0.09,2.25,12.5,37.1,18.5,64.8,10763.61,0.2777,3.0,Hypertension
Warrick,IN,18173,91105.0,5.95,0.33,2.06,2.11,10.55,32.9,16.65,65.35,13271.31,0.1765,1.0,Uninsured
Washington,IN,18175,60695.0,12.89,2.07,0.19,1.41,13.3,39.6,19.45,63.05,11811.99,0.3211,3.0,Hypertension
Wayne,IN,18177,54854.0,15.4,1.93,4.34,3.33,13.4,38.4,20.05,61.55,13080.5,0.3245,3.0,Hypertension
Wells,IN,18179,68074.0,6.21,1.12,1.13,3.34,11.55,36.75,18.1,66.6,11318.99,0.2303,2.0,Hypertension
White,IN,18181,65345.0,8.56,1.48,0.49,9.06,13.0,37.0,18.0,64.4,11755.1,0.2712,3.0,Diabetes
Whitley,IN,18183,73636.0,9.02,1.9,0.31,2.38,11.4,35.45,17.85,66.35,10752.08,0.2392,2.0,Uninsured
Adair,IA,19001,63172.0,9.84,1.38,0.64,2.62,11.5,36.0,17.25,65.1,12027.57,0.2436,2.0,Hypertension
Adams,IA,19003,64750.0,9.27,1.03,0.3,1.96,11.35,35.45,16.65,65.45,14460.53,0.2309,2.0,Hypertension
